Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
38,40,85,844,True,4.3,0,11/16/2022 9:24:04 AM,False,0,1,22,115.6,1431,,4.3,9,11/16/2022 9:47:55 AM,False,0,0,600FB929,22,0,13,GF,40/85,1015,1015,Teric
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,3.8,0,1,0.36,0.32,0,0,0,1,0,83,False,False,0,0,0,0,0,4.29,2914,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
10000,8,0,1,0.4,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.28,2902,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
20000,15.8,0,1,0.47,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.28,2896,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
30000,22.7,0,1,0.54,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.28,2878,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
40000,29.1,0,1,0.59,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.28,2872,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
50000,36.3,0,5,0.67,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.28,2850,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
60000,43.6,0,5,0.74,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.28,2834,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
70000,52,0,5,0.82,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.28,2810,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
80000,54.8,0,5,0.85,0.32,0,0,92,1,0,82,False,False,0,0,0,0,0,4.28,2800,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
90000,59.2,0,5,0.9,0.32,0,0,76,1,0,82,False,False,0,0,0,0,0,4.28,2776,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
100000,62.8,0,5,0.92,0.32,0,0,68,1,0,82,False,False,0,0,0,0,0,4.28,2758,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
110000,64.7,0,5,0.95,0.32,0,0,59,1,0,82,False,False,0,0,0,0,0,4.28,2746,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
120000,68.7,0,5,0.98,0.32,0,0,53,1,0,82,False,False,0,0,0,0,0,4.28,2710,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
130000,72.9,0,6,1.03,0.32,0,0,44,1,0,82,False,False,0,0,0,0,0,4.28,2698,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
140000,77.8,0,6,1.07,0.32,0,0,38,1,0,82,False,False,0,0,0,0,0,4.28,2678,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
150000,81.8,0,6,1.11,0.32,0,0,33,1,0,82,False,False,0,0,0,0,0,4.28,2662,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
160000,84.4,0,6,1.13,0.32,0,0,32,1,0,82,False,False,0,0,0,0,0,4.28,2646,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
170000,85.8,0,6,1.15,0.32,0,0,28,1,0,82,False,False,0,0,0,0,0,4.28,2620,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
180000,89.7,0,6,1.19,0.32,0,0,25,1,0,82,False,False,0,0,0,0,0,4.28,2598,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
190000,96.3,0,6,1.25,0.32,0,0,21,1,0,81,False,False,0,0,0,0,0,4.28,2588,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
200000,105.6,0,9,1.34,0.32,0,0,17,1,0,81,False,False,0,0,0,0,0,4.28,2544,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
210000,109.3,0,9,1.38,0.32,0,0,15,1,0,81,False,False,0,0,0,0,0,4.28,2528,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
220000,110.7,0,9,1.4,0.32,0,0,14,1,0,81,False,False,0,0,0,0,0,4.28,2486,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
230000,111.8,0,9,1.41,0.32,0,0,14,1,0,81,False,False,0,0,0,0,0,4.28,2486,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
240000,110.7,0,9,1.4,0.32,0,0,14,1,0,81,False,False,0,0,0,0,0,4.28,2472,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
250000,109.4,0,9,1.38,0.32,0,0,14,1,0,81,False,False,0,0,0,0,0,4.28,2444,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
260000,108.6,0,9,1.37,0.32,0,0,15,1,0,81,False,False,0,0,0,0,0,4.28,2436,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
270000,109,0,9,1.38,0.32,0,0,14,1,0,81,False,False,0,0,0,0,0,4.28,2396,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
280000,108.7,0,9,1.38,0.32,0,0,14,1,0,81,False,False,0,0,0,0,0,4.28,2382,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
290000,107.7,0,9,1.37,0.32,0,0,14,1,0,81,False,False,0,0,0,0,0,4.28,2346,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
300000,108.5,0,9,1.37,0.32,0,0,14,1,0,81,False,False,0,0,0,0,0,4.28,2322,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
310000,110.5,0,9,1.39,0.32,0,0,13,1,0,81,False,False,0,0,0,0,0,4.28,2316,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
320000,108.1,0,9,1.37,0.32,0,0,14,1,0,81,False,False,0,0,0,0,0,4.28,2294,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
330000,106.2,0,9,1.35,0.32,0,0,14,1,0,81,False,False,0,0,0,0,0,4.28,2276,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
340000,106.7,0,9,1.36,0.32,0,0,14,1,0,81,False,False,0,0,0,0,0,4.28,2258,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
350000,106.5,0,9,1.36,0.32,0,0,13,1,0,81,False,False,0,0,0,0,0,4.28,2268,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
360000,105.7,0,9,1.35,0.32,0,0,14,1,0,81,False,False,0,0,0,0,0,4.28,2220,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
370000,105.6,0,9,1.35,0.32,0,0,13,1,0,81,False,False,0,0,0,0,0,4.28,2200,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
380000,105.8,0,9,1.35,0.32,0,0,13,1,0,81,False,False,0,0,0,0,0,4.27,2210,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
390000,106.5,0,9,1.35,0.32,0,0,13,1,0,81,False,False,0,0,0,0,0,4.28,2196,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
400000,107,0,9,1.36,0.32,0,0,13,1,0,81,False,False,0,0,0,0,0,4.28,2172,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
410000,106.7,0,9,1.36,0.32,0,0,13,1,0,81,False,False,0,0,0,0,0,4.28,2154,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
420000,106.6,0,9,1.36,0.32,0,0,12,1,0,81,False,False,0,0,0,0,0,4.28,2110,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
430000,106.1,0,9,1.35,0.32,0,0,12,1,0,81,False,False,0,0,0,0,0,4.28,2094,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
440000,105.4,0,9,1.35,0.32,0,0,12,1,0,81,False,False,0,0,0,0,0,4.28,2074,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
450000,105.2,0,9,1.35,0.32,0,0,12,1,0,81,False,False,0,0,0,0,0,4.28,2036,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
460000,107.3,0,9,1.36,0.32,0,0,12,1,0,81,False,False,0,0,0,0,0,4.28,2016,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
470000,109.6,0,9,1.39,0.32,0,0,11,1,0,81,False,False,0,0,0,0,0,4.28,2004,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
480000,110.8,0,9,1.39,0.32,0,0,11,1,0,81,False,False,0,0,0,0,0,4.28,1980,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
490000,114.8,0,9,1.43,0.32,0,0,9,1,0,81,False,False,0,0,0,0,0,4.28,1940,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
500000,114.2,0,9,1.43,0.32,0,0,9,1,0,81,False,False,0,0,0,0,0,4.27,1918,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
510000,112.9,0,9,1.42,0.32,0,0,9,1,0,81,False,False,0,0,0,0,0,4.28,1892,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
520000,113.9,0,9,1.44,0.32,0,0,9,1,0,81,False,False,0,0,0,0,0,4.28,1880,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
530000,111.9,0,9,1.42,0.32,0,0,9,1,0,81,False,False,0,0,0,0,0,4.28,1852,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
540000,108.5,0,9,1.38,0.32,0,0,10,1,0,81,False,False,0,0,0,0,0,4.27,1864,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
550000,106.2,0,9,1.36,0.32,0,0,10,1,0,81,False,False,0,0,0,0,0,4.27,1826,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
560000,106.3,0,9,1.35,0.32,0,0,10,1,0,81,False,False,0,0,0,0,0,4.27,1814,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
570000,104.8,0,9,1.34,0.32,0,0,10,1,0,81,False,False,0,0,0,0,0,4.27,1796,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
580000,104.1,0,9,1.33,0.32,0,0,10,1,0,81,False,False,0,0,0,0,0,4.28,1756,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
590000,104.8,0,9,1.34,0.32,0,0,10,1,0,81,False,False,0,0,0,0,0,4.28,1736,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
600000,103.9,0,9,1.34,0.32,0,0,10,1,0,81,False,False,0,0,0,0,0,4.28,1710,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
610000,104.2,0,9,1.33,0.32,0,0,10,1,0,81,False,False,0,0,0,0,0,4.27,1682,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
620000,104.1,0,9,1.32,0.32,0,0,10,1,0,81,False,False,0,0,0,0,0,4.27,1666,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
630000,106.5,0,9,1.36,0.32,0,0,9,1,0,81,False,False,0,0,0,0,0,4.28,1624,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
640000,104.1,0,9,1.34,0.32,0,0,9,1,0,81,False,False,0,0,0,0,0,4.27,1620,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
650000,104.9,0,9,1.34,0.32,0,0,9,1,0,81,False,False,0,0,0,0,0,4.27,1588,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
660000,104.3,0,9,1.33,0.32,0,0,9,1,0,81,False,False,0,0,0,0,0,4.27,1570,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
670000,103.4,0,9,1.33,0.32,0,0,9,1,0,81,False,False,0,0,0,0,0,4.27,1560,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
