Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
18,40,85,38,True,4.3,9,10/7/2022 10:40:12 AM,False,0,1,22,55.3,2699,,4.3,21,10/7/2022 11:25:11 AM,False,0,0,600FB929,22,0,13,GF,40/85,1016,1016,Teric
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,5.7,0,1,0.44,0.37,0,0,0,1,0,90,False,False,0,0,0,0,0,4.28,3300,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
10000,14.7,0,1,0.52,0.37,0,0,99,1,0,88,False,False,0,0,0,0,0,4.27,3284,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
20000,24.5,0,1,0.65,0.37,0,0,99,1,0,86,False,False,0,0,0,0,0,4.28,3260,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
30000,33,0,1,0.73,0.37,0,0,99,1,0,85,False,False,0,0,0,0,0,4.27,3246,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
40000,38.4,0,5,0.8,0.37,0,0,99,1,0,85,False,False,0,0,0,0,0,4.28,3230,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
50000,40.8,0,5,0.82,0.37,0,0,99,1,0,84,False,False,0,0,0,0,0,4.28,3214,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
60000,43.4,0,5,0.86,0.37,0,0,99,1,0,84,False,False,0,0,0,0,0,4.28,3192,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
70000,46,0,5,0.89,0.37,0,0,99,1,0,84,False,False,0,0,0,0,0,4.28,3180,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
80000,45.6,0,5,0.89,0.37,0,0,99,1,0,84,False,False,0,0,0,0,0,4.28,3172,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
90000,48.2,0,5,0.93,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.28,3148,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
100000,49.6,0,5,0.93,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.28,3136,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
110000,49.5,0,5,0.93,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.27,3130,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
120000,49.3,0,5,0.93,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.28,3124,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
130000,50.2,0,5,0.93,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.27,3118,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
140000,49.9,0,5,0.93,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.27,3100,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
150000,50,0,5,0.93,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.28,3092,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
160000,50.2,0,5,0.93,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.28,3078,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
170000,49.3,0,5,0.92,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.28,3068,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
180000,49.1,0,5,0.92,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.28,3058,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
190000,48.9,0,5,0.92,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.27,3038,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
200000,47.9,0,5,0.91,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.27,3032,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
210000,48,0,5,0.91,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.27,3024,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
220000,48.4,0,5,0.92,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.27,3002,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
230000,46.9,0,5,0.9,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.27,2998,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
240000,47.3,0,5,0.9,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.27,2978,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
250000,46.1,0,5,0.89,0.37,0,0,99,1,0,83,False,False,0,0,0,0,0,4.28,2972,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
