Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
77,40,85,1062,True,4.3,0,12/17/2022 9:35:44 AM,False,0,1,22,101.2,1610,,4.2,7,12/17/2022 10:02:34 AM,False,0,0,600FB929,22,0,13,GF,40/85,1010,1010,Teric
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,1.6,0,0,0.31,0.3,0,0,0,1,0,79,False,False,0,0,0,0,0,4.25,3036,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
10000,11,0,1,0.39,0.3,0,0,99,1,0,79,False,False,0,0,0,0,0,4.25,3022,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
20000,17.9,0,1,0.46,0.3,0,0,99,1,0,79,False,False,0,0,0,0,0,4.25,3002,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
30000,33,0,1,0.58,0.3,0,0,99,1,0,79,False,False,0,0,0,0,0,4.25,2988,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
40000,49.7,0,5,0.74,0.3,0,0,99,1,0,79,False,False,0,0,0,0,0,4.25,2968,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
50000,62.1,0,5,0.85,0.3,0,0,66,1,0,79,False,False,0,0,0,0,0,4.25,2946,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
60000,69.6,0,6,0.93,0.3,0,0,46,1,0,79,False,False,0,0,0,0,0,4.25,2920,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
70000,71.9,0,6,0.95,0.3,0,0,41,1,0,79,False,False,0,0,0,0,0,4.25,2888,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
80000,70.5,0,6,0.94,0.3,0,0,42,1,0,79,False,False,0,0,0,0,0,4.25,2844,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
90000,70.4,0,6,0.93,0.3,0,0,44,1,0,79,False,False,0,0,0,0,0,4.25,2830,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
100000,68.9,0,6,0.92,0.3,0,0,47,1,0,79,False,False,0,0,0,0,0,4.25,2814,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
110000,68.6,0,6,0.92,0.3,0,0,46,1,0,79,False,False,0,0,0,0,0,4.25,2800,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
120000,70.2,0,6,0.93,0.3,0,0,45,1,0,79,False,False,0,0,0,0,0,4.25,2782,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
130000,69.9,0,6,0.93,0.3,0,0,44,1,0,79,False,False,0,0,0,0,0,4.25,2764,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
140000,71.6,0,6,0.95,0.3,0,0,40,1,0,79,False,False,0,0,0,0,0,4.25,2742,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
150000,73.5,0,6,0.97,0.3,0,0,37,1,0,79,False,False,0,0,0,0,0,4.25,2732,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
160000,74.4,0,6,0.98,0.3,0,0,36,1,0,79,False,False,0,0,0,0,0,4.25,2706,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
170000,74.2,0,6,0.98,0.3,0,0,35,1,0,79,False,False,0,0,0,0,0,4.25,2698,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
180000,74.8,0,6,0.98,0.3,0,0,35,1,0,79,False,False,0,0,0,0,0,4.25,2682,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
190000,76.3,0,6,0.9899999,0.3,0,0,33,1,0,79,False,False,0,0,0,0,0,4.25,2658,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
200000,78.2,0,6,1.01,0.3,0,0,32,1,0,79,False,False,0,0,0,0,0,4.25,2652,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
210000,79.8,0,6,1.02,0.3,0,0,30,1,0,79,False,False,0,0,0,0,0,4.25,2642,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
220000,79.3,0,6,1.02,0.3,0,0,31,1,0,79,False,False,0,0,0,0,0,4.25,2616,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
230000,80.4,0,6,1.03,0.3,0,0,29,1,0,79,False,False,0,0,0,0,0,4.25,2604,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
240000,81.7,0,6,1.04,0.3,0,0,27,1,0,79,False,False,0,0,0,0,0,4.25,2576,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
250000,84,0,6,1.06,0.3,0,0,25,1,0,79,False,False,0,0,0,0,0,4.25,2568,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
260000,86.9,0,6,1.09,0.3,0,0,23,1,0,79,False,False,0,0,0,0,0,4.25,2542,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
270000,86.1,0,6,1.08,0.3,0,0,23,1,0,79,False,False,0,0,0,0,0,4.24,2536,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
280000,89.4,0,6,1.11,0.3,0,0,21,1,0,79,False,False,0,0,0,0,0,4.25,2500,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
290000,92.9,0,6,1.14,0.3,0,0,19,1,0,79,False,False,0,0,0,0,0,4.25,2482,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
300000,95.5,0,6,1.16,0.3,0,0,18,1,0,79,False,False,0,0,0,0,0,4.25,2460,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
310000,96.6,0,6,1.18,0.3,0,0,16,1,0,79,False,False,0,0,0,0,0,4.25,2442,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
320000,96.7,0,6,1.18,0.3,0,0,16,1,0,79,False,False,0,0,0,0,0,4.25,2420,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
