Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
31,40,85,179,True,4.1,2,11/14/2022 2:21:05 PM,False,0,1,22,28.4,2672,,4.1,6,11/14/2022 3:05:38 PM,False,0,0,600FB929,22,0,13,GF,40/85,1012,1012,Teric
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,4.4,0,1,0.36,0.32,0,0,0,1,0,93,False,False,0,0,0,0,0,4.15,2972,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
10000,6.2,0,1,0.38,0.32,0,0,99,1,0,90,False,False,0,0,0,0,0,4.15,2960,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
20000,7.9,0,1,0.4,0.32,0,0,99,1,0,88,False,False,0,0,0,0,0,4.15,2942,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
30000,8.7,0,1,0.4,0.32,0,0,99,1,0,87,False,False,0,0,0,0,0,4.15,2936,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
40000,11.6,0,1,0.43,0.32,0,0,99,1,0,86,False,False,0,0,0,0,0,4.15,2924,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
50000,14,0,1,0.45,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.15,2912,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
60000,14.2,0,1,0.46,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.14,2900,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
70000,13,0,1,0.45,0.32,0,0,99,1,0,85,False,False,0,0,0,0,0,4.15,2888,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
80000,14.5,0,1,0.46,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.14,2876,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
90000,15.5,0,1,0.48,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.15,2874,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
100000,12.5,0,1,0.45,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.15,2866,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
110000,10.3,0,1,0.43,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.14,2852,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
120000,9.2,0,1,0.41,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.14,2844,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
130000,9.6,0,1,0.41,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.14,2838,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
140000,8,0,1,0.4,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.14,2830,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
150000,8.3,0,1,0.4,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.14,2820,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
160000,9.900001,0,1,0.42,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.14,2816,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
170000,11.1,0,1,0.43,0.32,0,0,99,1,0,84,False,False,0,0,0,0,0,4.14,2802,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
