Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
49,40,85,183,True,4.2,3,11/18/2022 2:09:46 PM,False,0,1,22,51.7,2226,,4.2,9,11/18/2022 2:46:52 PM,False,0,0,600FB929,22,0,13,GF,40/85,1011,1011,Teric
Time (ms),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
0,1.5,0,0,0.33,0.32,0,0,0,1,0,83,False,False,0,0,0,0,0,4.19,2832,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
10000,11.5,0,1,0.43,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.19,2806,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
20000,18.9,0,1,0.49,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.19,2790,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
30000,24.4,0,1,0.55,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.19,2778,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
40000,31.8,0,1,0.62,0.32,0,0,99,1,0,83,False,False,0,0,0,0,0,4.19,2756,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
50000,37.2,0,5,0.68,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.19,2742,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
60000,45.2,0,5,0.76,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.19,2714,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
70000,49.2,0,5,0.8,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.19,2700,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
80000,47.9,0,5,0.78,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.19,2694,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
90000,48.3,0,5,0.79,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.19,2686,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
100000,50.2,0,5,0.8,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.19,2666,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
110000,49.5,0,5,0.8,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.18,2646,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
120000,50.2,0,5,0.81,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.18,2642,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
130000,48.9,0,5,0.8,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.19,2630,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
140000,48.7,0,5,0.79,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.18,2620,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
150000,48.8,0,5,0.79,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.19,2610,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
160000,48.3,0,5,0.79,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.18,2596,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
170000,50.4,0,5,0.81,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.19,2586,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
180000,50.1,0,5,0.8,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.18,2574,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
190000,50.7,0,5,0.81,0.32,0,0,99,1,0,82,False,False,0,0,0,0,0,4.19,2564,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
